Country,FPI
Afghanistan,88221.0
Albania,67629.0
Algeria,996868.0
American Samoa,1421.0
Andorra,4703.0
Angola,67381.0
Anguilla,4152.0
Antigua and Barbuda,10557.0
Argentina,885029.0
Armenia,104398.0
Aruba,11443.64
Australia,2141404.0
Austria,3867699.0
Azerbaijan,313912.0
Bahamas,57874.0
Bahrain,116328.0
Bangladesh,764531.0
Barbados,24951.0
Belarus,392526.0
Belgium,6062558.0
Belize,18802.0
Benin,10084.0
Bermuda,3876.0
Bhutan,30902.0
Bolivia (Plurinational State of),159911.0
Bosnia and Herzegovina,280006.0
Botswana,61453.0
Brazil,881521.0
British Indian Ocean Territory,43.0
British Virgin Islands,9018.0
Brunei Darussalam,14401.0
Bulgaria,479545.0
Burkina Faso,17089.0
Burundi,4623.0
Cabo Verde,9179.0
Cambodia,310203.0
Cameroon,46430.0
Canada,4999087.0
Cayman Islands,18155.0
Central African Republic,968.0
Chad,1088.0
Chile,901684.0
"China, Hong Kong SAR",674777.0
"China, Macao SAR",28884.0
"China, mainland",47820388.0
Other non-specified areas,3031542.0
Christmas Island,162.0
Cocos (Keeling) Islands,207.0
Colombia,867678.0
Comoros,1251.0
Congo,10869.0
Cook Islands,1356.0
Costa Rica,525710.0
Côte d'Ivoire,139164.0
Croatia,546794.0
Cuba,64621.0
Curaçao,13140.0
Cyprus,122586.0
Czechia,2122496.0
Democratic People's Republic of Korea,34991.0
Democratic Republic of the Congo,17941.0
Denmark,2090845.0
Djibouti,56471.0
Dominica,6894.0
Dominican Republic,393367.0
Ecuador,399225.0
Egypt,2613098.0
El Salvador,297002.0
Equatorial Guinea,3354.0
Eritrea,3380.0
Estonia,688950.0
Eswatini,24966.0
Ethiopia,103584.0
Falkland Islands (Malvinas),673.0
Faroe Islands,11767.0
Fiji,44183.0
Finland,1415408.0
France,8256757.0
French Guiana,3148.0
French Polynesia,16554.0
French Southern Territories,690.0
Gabon,9771.0
Gambia,8126.0
Georgia,158067.0
Germany,16442309.0
Ghana,224596.0
Gibraltar,951.0
Greece,1109189.0
Greenland,5685.0
Grenada,7699.1
Guadeloupe,30632.0
Guam,6.0
Guatemala,498742.0
Guinea,8464.0
Guinea-Bissau,890.0
Guyana,9376.0
Haiti,44007.66
Holy See,0.0
Honduras,217467.0
Hungary,1426364.0
Iceland,123843.0
India,6799109.0
Indonesia,3028095.0
Iran (Islamic Republic of),1245857.0
Iraq,376164.0
Ireland,839558.0
Israel,954216.0
Italy,9492899.0
Jamaica,103057.0
Japan,10581454.0
Jordan,462557.0
Kazakhstan,525109.0
Kenya,424480.0
Kiribati,925.0
Kuwait,397252.0
Kyrgyzstan,84117.0
Lao People's Democratic Republic,37223.0
Latvia,627882.0
Lebanon,430885.0
Lesotho,17446.0
Liberia,8662.0
Libya,108965.0
Liechtenstein,0.0
Lithuania,917520.0
Luxembourg,364141.0
Madagascar,30716.0
Malawi,18001.0
Malaysia,2429761.0
Maldives,37737.0
Mali,12038.0
Malta,103526.0
Marshall Islands,2104.0
Martinique,22761.0
Mauritania,10822.0
Mauritius,88239.0
Mexico,5819335.0
Micronesia (Federated States of),1899.0
Mongolia,51227.0
Montenegro,27102.0
Montserrat,426.0
Morocco,984641.0
Mozambique,52976.0
Myanmar,317722.0
Namibia,85359.0
Nauru,489.0
Nepal,99037.0
Netherlands,6005014.0
New Caledonia,12546.0
New Zealand,566797.0
Nicaragua,65974.0
Niger,9704.0
Nigeria,634434.0
Niue,272.0
Norfolk Island,222.0
North Macedonia,127863.0
Northern Mariana Islands,32.0
Norway,1062346.0
Oman,237201.0
Pakistan,961296.0
Palau,1661.0
Palestine,164230.0
Panama,125155.0
Papua New Guinea,18520.0
Paraguay,199529.0
Peru,872279.0
Philippines,1913429.0
Pitcairn,24.0
Poland,5628459.0
Portugal,1666766.0
Qatar,231493.0
Republic of Korea,6391211.0
Republic of Moldova,121196.0
Réunion,69029.0
Romania,1264442.0
Russian Federation,2005394.0
Rwanda,20173.0
"Saint Helena, Ascension and Tristan da Cunha",453.0
Saint Kitts and Nevis,13164.0
Saint Lucia,8329.0
Saint Pierre and Miquelon,252.0
Saint Vincent and the Grenadines,6791.0
Saint-Martin (French part),3941.0
Samoa,11724.0
San Marino,1886.0
Sao Tome and Principe,576.0
Saudi Arabia,2194895.0
Senegal,119772.0
Serbia,674457.0
Seychelles,18017.0
Sierra Leone,9946.0
Singapore,1733921.0
Slovakia,1119472.0
Slovenia,1266490.0
Solomon Islands,3388.0
Somalia,68480.0
South Africa,1226400.0
South Sudan,196.0
Spain,4522109.0
Sri Lanka,457259.0
Sudan,117169.0
Suriname,10655.0
Sweden,2587012.0
Switzerland,1529491.0
Syrian Arab Republic,163426.0
Tajikistan,91942.0
Thailand,2380747.0
Timor-Leste,3547.0
Togo,22137.0
Tokelau,1.0
Tonga,1225.0
Trinidad and Tobago,102583.0
Tunisia,393146.0
Turkey,3611252.0
Turkmenistan,146302.0
Turks and Caicos Islands,6166.0
Tuvalu,355.0
Uganda,120881.0
Ukraine,949042.0
United Arab Emirates,1998983.0
United Kingdom of Great Britain and Northern Ireland,10514071.0
United Republic of Tanzania,117107.0
United States of America,25354527.0
Uruguay,115791.0
Uzbekistan,781532.0
Vanuatu,1917.0
Venezuela (Bolivarian Republic of),74186.0
Viet Nam,4796776.0
Wake Island,30.0
Wallis and Futuna Islands,137.0
Western Sahara,0.0
Yemen,189330.0
Zambia,78041.0
Zimbabwe,104079.0
